periodo,retorno_mercado,retorno_ativo
1,1.077524540531115,1.9676379307309455
2,1.4407623732683013,-1.7081413652225117
3,5.104960629865542,9.666418005869078
4,-2.5826441310693884,0.2207020053653137
5,2.1322814904730203,2.1274444528102125
6,0.6965486081845744,1.9444941744191722
7,2.0556328458302144,-3.35804549950343
8,-2.5334752237976232,-5.73103941922048
9,-5.558269973235876,-7.204371268263375
10,-7.491933743965167,-11.47065304632535
11,-3.6695364519584315,-2.4174525357734704
12,-1.034701139757332,3.9515999591611863
13,-0.37276634659504726,-3.1888564144873115
14,8.548924649718067,8.365051069448697
15,5.223973479629192,7.057389096329857
16,-3.048364465366509,0.5697530128092416
17,2.190833809803828,-0.22693520958516444
18,-0.8283129454013003,-0.17138522871420525
19,-0.3374553521603805,4.348300704440315
20,1.5413025976615282,-2.079834753254334
21,3.276684467901573,0.9293483443673072
22,-0.5570339355360614,-1.5274572387953693
23,5.055406130937434,4.965016324986393
24,-3.7677529045696163,-2.2898002660994274
25,0.8253562494490738,1.7945767988909838
26,11.19069490638333,9.191428738554674
27,1.6923189705011006,3.519308771853348
28,6.532858026424691,6.5955824133205025
29,1.1660807126928328,4.785414897584497
30,3.123108381319187,2.3787612164907252
31,0.5728672224292339,-0.7040975408405086
32,0.11836967534318232,1.6948726374231473
33,-2.3179295869016787,-0.6741992984396727
34,2.521205435830213,4.345694932836764
35,-2.606148756743072,-7.141371801553706
36,3.4623409452537164,5.699895234125087
37,5.14114801778364,3.78360749215437
38,2.26612562894892,3.507541033709362
39,-0.3449949342227674,-3.7733300095649716
40,2.615862317234784,4.4548401495394
41,-0.4346922221856504,-2.338127927391212
42,4.542188501860597,2.4440395765814125
43,-6.525624336860495,-5.846198863026594
44,-0.5424294724745848,0.1531959372223764
45,-7.163247980495991,-9.930839580077432
46,-5.18024332090882,-2.3883448625379238
47,6.255448919255637,6.604907649182409
48,4.380739927886744,5.537157098391429
49,-2.0779209331391613,-1.621221500570491
50,-5.210013824163588,-7.601181424317839
51,-11.058115351366604,-11.891897688140102
52,-1.3739820317305382,-2.782409305988457
53,10.48166004898961,11.748896253247008
54,2.5395370858545894,6.65405110253386
55,-1.438289144197958,-4.127412104318632
56,2.6603208380012253,-2.639565821722255
57,-5.443833411977772,-2.3052576068435897
58,-0.3892934507905417,6.106167740568857
59,1.197909892062954,0.6243187068522151
60,0.455597392715806,-4.095378230291495
61,3.963224486760322,4.179659443622527
62,2.1785809049442095,2.098739711331379
63,3.473304072431988,3.893155284362743
64,-1.9534891289230376,-4.927657059512265
65,4.391261633642192,6.918416816561823
66,7.315747790495966,10.290165786810373
67,-3.08059807860565,-7.232731743875046
68,-2.750782622858239,-1.3529473181926668
69,6.143137345280931,12.703477269201844
70,0.03462405321975892,0.6714496949563604
71,6.415285568266228,7.055029776748208
72,-0.9701428475687355,-1.319179453101286
73,6.620182305082845,9.682360683520816
74,1.3259432672218088,-2.5355470931018753
75,1.8329152932907808,2.8104751093921925
76,7.058872086679617,7.694486630358515
77,-0.6470819097766849,4.043064240658092
78,-2.964488383699833,-3.792817894952194
79,-0.9942568321134173,3.1766108292626987
80,2.609335802572555,0.5718512186320477
81,-5.463036288722058,-4.8874956294594885
82,3.3498836106044863,5.018360992203456
83,-1.3550852704709728,-3.5987204442271232
84,5.391250642934254,7.1129910581134554
85,-8.777041219601886,-7.301152371443262
86,-2.3462631004166745,-3.424994981216511
87,-5.945872604936408,-11.164953748848097
88,-2.50491786545581,-2.8498085047405866
89,1.7906636044357724,0.09273858834164539
90,0.08309349820098044,-0.5561401488185294
91,-0.21351027579205972,-0.2601817551632741
92,0.16326051447975687,-3.8682179226630846
93,1.6135529624797738,-1.9028822933259666
94,-3.234144167772431,-2.475805912513104
95,3.627398563596203,3.2460815358912423
96,3.450663881541936,-2.071064196701095
97,2.340151750624404,4.970292192269623
98,3.0261337710050524,4.512284913391662
99,1.985672003234638,0.7981193437903558
100,8.94029321092427,7.63627632546352
101,0.45162331578996046,2.8314677197337956
102,-0.42833287333830694,0.5593771083951058
103,-2.2141103214295113,3.4995733209947706
104,-3.3290506823113475,-2.7443893219612736
105,-4.177887150404302,-3.844206727330125
106,-2.7551892529236737,-3.523546928779821
107,0.5172784733917148,2.862673836072035
108,2.1371805139908577,4.327329619909413
109,1.0045682342086473,4.534794402463364
110,-2.2621411097188515,-3.8178766282558336
111,4.400738256079853,4.392367224935917
112,3.75765068920379,3.511422899764598
113,0.16140677031193207,2.3706924273217913
114,-1.8116645786588481,1.7719386063512126
115,2.993711683319198,2.645352787109786
116,1.5518943499444178,1.000338900450573
117,-4.992509037660191,-5.00581778551773
118,0.5280789760623805,0.21929102124260302
119,1.8481432482975242,4.797906030806754
120,-2.7987791459510154,-8.787978201688835
