trimestre,pib_crescimento
1,1.1111111111111112
2,1.4158281908655426
3,0.23872139873555298
4,1.3817479651110114
5,2.20052609720227
6,-0.24074583519258774
7,-0.9345897162182414
8,0.11381605924725255
9,0.24635624024240665
10,0.6186947746290349
11,-0.012761801527610861
12,1.3723789840226426
13,2.0326003766414016
14,1.6839609047139872
15,2.553419704560726
16,2.3718901797604452
17,0.9452471359850066
18,1.3886367088742526
19,0.3048675890518401
20,1.5461274752857848
21,1.3004442004209287
22,1.0303819466862503
23,0.38578052627349635
24,1.9347206281244533
25,1.4095668633996472
26,0.8469339527066988
27,0.6136801235004549
28,1.3698332534785989
29,1.6188523537773079
30,1.8031014061735078
31,1.922526776403312
32,3.699037327892283
33,2.12805551395614
34,1.1581878036043398
35,0.3232305637345092
36,1.2937562326294758
37,2.3405382206671033
38,1.6733485637120318
39,0.5801852330790895
40,-0.005379337497740222
41,1.147634152200944
42,1.8744529549139615
43,2.074103393507874
44,0.9752471591406365
45,1.2685472605940697
46,1.3143868024674665
47,1.4416013380861197
48,2.1643095138955557
49,1.9139657814172382
50,2.231594742851376
51,1.7949561780571481
52,1.7763452966214155
53,2.108278138980319
54,0.2023971565835092
55,0.29164721976362873
56,0.19003331657720035
57,-0.034359524125881724
58,0.2059600105040813
59,2.1082193170116406
60,0.7936895086631592
61,1.9048075843562184
62,-0.1352256002198846
63,0.0907408898932886
64,0.7126605545463143
65,1.478185636359751
66,2.024228679790718
67,2.40667300908482
68,1.4749450827482136
69,0.8488680028469503
70,1.8248532828229767
71,1.3123649806710225
72,-0.05388558396885945
73,-0.6629242851863533
74,-0.7840606428541057
75,0.5659273904840059
76,0.9536858008367686
77,1.715012544527991
78,1.0160042531538607
79,1.2173420303113378
80,1.7951285106385728
